config_id,strategy,symbols,avg_exposure,start,end,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_return
logistic_regression|returns_plus_volatility|0.45,model,5,0.9355343266622324,2020-01-02,2023-12-29,0.28041532895037763,0.31788515748456264,0.8821277821503678,1.2324227820427742,-0.4849967589347215,2.0631254920485054
xgboost|all_features|0.70,model,5,0.132592052568945,2020-01-02,2023-12-29,0.0831792573873013,0.09508965674016748,0.874745584733665,0.9602442914398489,-0.10937783617113606,0.3938321228474069
random_forest|returns_plus_volatility|0.55,model,5,0.45580343518328964,2020-01-02,2023-12-29,0.17339490085510223,0.19996425457822362,0.8671294838211808,1.1095621196770877,-0.21957048434889892,0.9981134360481805
random_forest|returns_only|0.55,model,5,0.45342847951940274,2020-01-02,2023-12-29,0.17137887254951198,0.19789808133926529,0.8659956245644935,1.1359317409574419,-0.2632217083018157,0.9820969311052448
random_forest|returns_only|0.45,model,5,0.8161123268017084,2020-01-02,2023-12-29,0.2499720951207676,0.2922176699755208,0.8554311419350783,1.1620224965250587,-0.4141197228116026,1.7125915649657557
logistic_regression|returns_only|0.45,model,5,0.9500244011469026,2020-01-02,2023-12-29,0.2763158360827135,0.32391576992577964,0.8530484210325019,1.1770149043761773,-0.49234701254173285,2.0134040744804125
logistic_regression|no_volume_features|0.45,model,5,0.9309446472095182,2020-01-02,2023-12-29,0.2718968847417944,0.31882185701903687,0.852817580588772,1.1795553064371744,-0.49169497266742435,1.9607115476987005
gradient_boosting|all_features|0.45,model,5,0.7524311444603666,2020-01-02,2023-12-29,0.2202469247946116,0.25923651465137143,0.8495983873676356,1.133621586379584,-0.4361063446140331,1.409067414589786
xgboost|returns_plus_volatility|0.55,model,5,0.4797698260974547,2020-01-02,2023-12-29,0.1685042168897953,0.19834186420803576,0.8495645514002808,1.135715505659822,-0.24838515179971832,0.9594807849373148
gradient_boosting|all_features|0.40,model,5,0.8333437023472706,2020-01-02,2023-12-29,0.2407370086331319,0.28361829323665044,0.8488063512612055,1.1444899287210855,-0.47892704365973515,1.6144073142369901
random_forest|all_features|0.70,model,5,0.034941494202623595,2020-01-02,2023-12-29,0.04319621047536259,0.0510882200167815,0.845521931693323,0.5428349127902239,-0.07072908041012682,0.18820292047404985
logistic_regression|zscore_features|0.50,model,5,0.9012151588888813,2020-01-02,2023-12-29,0.2697233580451724,0.3200076385770163,0.842865374228428,1.1270765225107502,-0.4000590993693822,1.9351330093739518
random_forest|returns_plus_volatility|0.65,model,5,0.13885903873057864,2020-01-02,2023-12-29,0.08239021793667403,0.0982632728481084,0.8384640115135353,0.9427482030807263,-0.08985037749117442,0.3894486046346224
random_forest|all_features|0.45,model,5,0.8395704731360023,2020-01-02,2023-12-29,0.24873265845056955,0.29853450574945517,0.8331789245807257,1.1056763101058138,-0.4863135462169714,1.6992030562380056
random_forest|returns_plus_volatility|0.70,model,5,0.05542562661081628,2020-01-02,2023-12-29,0.04738053865600431,0.05798453146397171,0.8171237649034706,0.7758885211088519,-0.04323677830700845,0.20821748263602724
random_forest|returns_only|0.65,model,5,0.12538158639674318,2020-01-02,2023-12-29,0.08098746558406819,0.10030062756462363,0.8074472468468656,0.8866541464581117,-0.10638091371610725,0.38168960909192173
random_forest|returns_only|0.60,model,5,0.2601657585980815,2020-01-02,2023-12-29,0.1161873420003299,0.14410613153545035,0.8062623065538861,1.0281106497067372,-0.15466507886115055,0.5901482426217886
logistic_regression|returns_plus_volatility|0.65,model,5,0.03612890179666552,2020-01-02,2023-12-29,0.05893447771939487,0.07314179010179439,0.8057565673108816,0.5320932915929426,-0.0715023526634414,0.2652505640680296
