symbol,strategy,model,feature_set,threshold,folds,avg_exposure,avg_trade_count,avg_accuracy,avg_precision,avg_roc_auc,avg_sharpe_ratio,avg_sortino_ratio,avg_max_drawdown,avg_total_return
AAPL,volatility_adjusted_diversified_full,random_forest,returns_only_inverse_volatility,0.45,1,0.17689370918658054,225.0,,,,0.9889140398391152,1.400154287209439,-0.057048019340516176,0.2708476291412625
AAPL,volatility_adjusted_full,random_forest,returns_only_inverse_volatility,0.45,1,0.29378633880439364,856.0,,,,0.9074848604123018,1.2741312763751638,-0.09910610290577382,0.4228008870072515
AMZN,always_long,baseline,baseline,0.0,4,1.0,0.0,0.5178499447220217,0.5178499447220217,0.5,0.48136325495353144,0.7413734048852783,-0.272358319478445,0.25642963409556885
AMZN,long_flat,random_forest,returns_only,0.55,4,0.4639681739820316,109.75,0.5227665315899337,0.5470414138860802,0.5263446114982601,0.9628582634203499,1.259061935926184,-0.17457352296121909,0.2674516950773428
AMZN,sized_aggressive,random_forest,returns_only,0.55,4,0.33335835233631006,144.75,0.5227665315899337,0.5470414138860802,0.5263446114982601,0.8437593635333924,1.033997170065793,-0.1523131608306234,0.15112073539570856
AMZN,sized_balanced,random_forest,returns_only,0.55,4,0.23029975730430433,149.5,0.5227665315899337,0.5470414138860802,0.5263446114982601,0.790931239902295,0.9748453751504564,-0.11969333623167414,0.09349676575960975
AMZN,sized_linear,random_forest,returns_only,0.55,4,0.17289654642718258,171.25,0.5227665315899337,0.5470414138860802,0.5263446114982601,0.9202242918797274,1.1749617226443019,-0.08156975351446982,0.0773502713663152
AMZN,sized_near_full,random_forest,returns_only,0.55,4,0.41703596468008386,133.25,0.5227665315899337,0.5470414138860802,0.5263446114982601,0.9286995122346773,1.1948533444978873,-0.1659229058682371,0.22304511549313544
AMZN,volatility_adjusted_50,random_forest,returns_only_inverse_volatility,0.55,1,0.06056180669072124,688.0,,,,0.5702209709615272,0.5717581827876226,-0.09233830559651035,0.09614837178916247
AMZN,volatility_adjusted_75,random_forest,returns_only_inverse_volatility,0.55,1,0.08974820779070893,687.0,,,,0.6301523397449481,0.6578665200613362,-0.12581702674552286,0.15571540513177684
AMZN,volatility_adjusted_diversified_50,random_forest,returns_only_inverse_volatility,0.55,1,0.04516805879089393,521.0,,,,0.7367030718403826,0.8553498256208537,-0.04683795493965881,0.08263654222000283
AMZN,volatility_adjusted_diversified_75,random_forest,returns_only_inverse_volatility,0.55,1,0.06775208818634089,521.0,,,,0.7367030718403821,0.8553498256208532,-0.06942772208483483,0.1264813932123232
AMZN,volatility_adjusted_diversified_full,random_forest,returns_only_inverse_volatility,0.55,1,0.09033611758178786,521.0,,,,0.7367030718403826,0.8553498256208537,-0.0914821158563881,0.17210188255008396
AMZN,volatility_adjusted_full,random_forest,returns_only_inverse_volatility,0.55,1,0.11966427705427854,687.0,,,,0.6301523397449484,0.6578665200613364,-0.16413438931089874,0.21283355246092261
META,always_long,baseline,baseline,0.0,4,1.0,0.0,0.5168735968979343,0.5168735968979343,0.5,0.6369533097979468,1.5924804772054046,-0.35254318096244447,0.4364566057298051
META,long_flat,random_forest,returns_only,0.6,4,0.19780198448317277,58.0,0.5020313528494716,0.570045794962554,0.52062809991268,0.7765023973992677,0.6016102650146535,-0.15071738999692483,0.10982251647049285
META,sized_aggressive,random_forest,returns_only,0.6,4,0.1289674859130515,70.5,0.5020313528494716,0.570045794962554,0.52062809991268,0.8566064277792025,0.6613590907553852,-0.09913893144106267,0.09121432586981965
META,sized_balanced,random_forest,returns_only,0.6,4,0.08174522707213683,70.75,0.5020313528494716,0.570045794962554,0.52062809991268,0.9104664806623374,0.7422705011866056,-0.0672119814728745,0.07080587255451987
